Year,Acropora,Astrea curta,Astreopora,Autres corail,Cyphastrea,Fungia,Gardineroseris,Goniastrea stelligera,Herpolitha,Leptastrea,Leptoseris,Lobophyllia,Millepora,Montipora,Napopora,Pavona,Pocillopora,Porites,Porites rus,Psammocora,Sandalolitha,Species richness,Shannon,Total,Pielou,Brillouin,Simpson
1997-01-01,0.15968670076726313,0.008631713554986969,0.001918158567774675,0.031170076726342505,0.0,0.005274936061380978,0.0,0.009590792838874618,0.004475703324807886,0.02589514066496153,0.0,0.0,0.0,0.047474424552429416,0.02109974424552422,0.02157928388746789,0.4881713554987209,0.1654411764705881,0.009590792838874618,0.0,0.0,0.7368421052631579,0.8899946386479753,0.3218106995884774,0.6238181510915273,1.4198158626853414e-16,0.7266009852216748
1998-01-01,0.2831215970961888,0.014519056261342806,0.0,0.05081669691470041,0.0,0.018148820326678652,0.0,0.01270417422867488,0.0,0.007259528130671403,0.0,0.0,0.0,0.03266787658802175,0.01088929219600725,0.005444646098003479,0.4918330308529945,0.0725952813067149,0.0,0.0,0.0,0.5789473684210527,0.7908503175924569,0.3401234567901234,0.6100754139755711,-4.000848069261003e-25,0.6816816816816818
1999-01-01,0.1927892593151304,0.008598581988233232,0.0036204555739928626,0.03213154321918816,0.0,0.016292050082968617,0.0,0.007240911147986019,0.003017046311660768,0.031226429325690017,0.0018102277869962847,0.0018102277869962847,0.016292050082968617,0.07693468094735237,0.012219037562226387,0.01040880977522981,0.4023231256599788,0.1796651078594056,0.0036204555739928626,0.0,0.0,0.8947368421052632,0.9737802348261084,0.3409979423868312,0.6357715913496459,6.4292162145058156e-21,0.768270944741533
2001-01-01,0.2844961773365756,0.010389642863840667,0.0014628017028511847,0.015115617596128986,0.0,0.01432795514074756,0.0014252939668804756,0.0033256859227213404,0.00324441916145201,0.02951858820881796,0.0014628017028511847,0.0014252939668804756,0.029931173304493915,0.06132514831183924,0.02280470347009061,0.012940168909837563,0.31386473460151165,0.1836191214437976,0.007895378421799373,0.0014252939668804756,0.0,1.0,1.0,0.4330923760017326,0.628227412909259,-1.437642320055162e-43,0.7916666666666666
2003-01-01,0.31619718309859146,0.002112676056337969,0.002816901408450549,0.021830985915492956,0.0,0.01830985915492937,0.0,0.0014084507042251605,0.002816901408450549,0.026056338028168896,0.0,0.0,0.0,0.02535211267605631,0.017605633802816788,0.010563380281690073,0.334507042253521,0.21126760563380284,0.009154929577464685,0.0,0.0,0.7368421052631579,0.8764658001210991,0.4382716049382716,0.6143354703317054,-2.737639819492051e-43,0.7473404255319149
2005-01-01,0.3128061581525541,0.004898530440867527,0.001399580125962021,0.020993701889433034,0.0,0.01959412176347079,0.0,0.004198740377886517,0.004898530440867527,0.030090972708187533,0.0006997900629810105,0.0,0.0,0.020993701889433034,0.021693491952414275,0.011896431070678766,0.3331000699790063,0.20503848845346395,0.007697690692792023,0.0,0.0,0.7894736842105263,0.8984670288949229,0.4410493827160494,0.6137123670435316,2.1468303874508308e-41,0.7502312673450509
2007-01-01,0.1596244131455396,0.014084507042253136,0.0,0.0,0.0,0.028169014084507032,0.0,0.0,0.028169014084507032,0.004694835680750539,0.0,0.0,0.0,0.028169014084507032,0.018779342723004435,0.0,0.4507042253521125,0.23004694835680756,0.03755868544600887,0.0,0.0,0.5263157894736842,0.8514009000260441,0.1314814814814814,0.6839712668309927,0.016666666666666666,0.7333333333333334
2009-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23473282442748092,0.0,0.0,0.0,0.765267175572519,0.0,0.0,0.0,0.0,0.10526315789473684,0.2945933718359064,0.01048,0.786170876887939,1.0,
2011-01-01,0.0,0.0,0.0,0.18181818181817244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090907887,0.0,0.18181818181817244,0.4545454545454532,0.09090909090907887,0.0,0.0,0.2631578947368421,0.7645672147228618,0.0067901234567901,0.8787409900675933,1.0,
2013-01-01,0.07692307692307501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12820512820512778,0.025641025641022233,0.025641025641022233,0.28205128205128194,0.4102564102564097,0.051282051282048616,0.0,0.0,0.3684210526315789,0.8235408051510998,0.024074074074074,0.7828558133565608,1.0,
2015-01-01,0.05223880597014883,0.02238805970149253,0.0,0.007462686567163773,0.0,0.0,0.0,0.0,0.0,0.0037313432835815847,0.0,0.0,0.0,0.10820895522388045,0.02238805970149253,0.018656716417910342,0.6156716417910448,0.14179104477611895,0.0037313432835815847,0.0037313432835815847,0.0,0.5789473684210527,0.7103361289994089,0.165432098765432,0.5479653966383542,0.0002525252525252525,0.6
2017-01-01,0.07508532423208165,0.01023890784982934,0.0,0.017064846416382146,0.0,0.0034129692832762628,0.0,0.0017064846416379933,0.0,0.0017064846416379933,0.0,0.0,0.0,0.09215017064846406,0.0051194539249145325,0.008532423208191073,0.6877133105802047,0.08703071672354927,0.01023890784982934,0.0,0.0,0.631578947368421,0.6250222855328347,0.3617283950617284,0.4652698019220642,6.524625565169026e-16,0.4773519163763066
2019-01-01,0.034068136272545,0.010020040080160258,0.0,0.0020040080160317916,0.0020040080160317916,0.004008016032063908,0.0,0.0,0.0,0.0020040080160317916,0.0020040080160317916,0.0,0.0,0.060120240480961866,0.008016032064128141,0.010020040080160258,0.7515030060120238,0.09619238476953898,0.014028056112224163,0.004008016032063908,0.0,0.7368421052631579,0.545417411854453,0.3080246913580247,0.38229587759432393,2.149982800137599e-05,0.3801169590643275
2021-01-01,0.06887052341597755,0.01928374655647344,0.0,0.0,0.0,0.011019283746556318,0.0,0.0,0.0027548209366387447,0.008264462809917127,0.0,0.0,0.0,0.04132231404958652,0.0027548209366387447,0.033057851239669395,0.7410468319559227,0.07162534435261673,0.0,0.0,0.0,0.5263157894736842,0.5608693141372006,0.224074074074074,0.45057327905727657,,
