DateTime,DC_mean,dhw,thermal_stress_category_plage,MMM,der_DC_mean,pdo
1991-05-01,0.3504964824120603,1.632769402877946,1,29.45540911356608,0.02169648241206029,-1.65
1992-01-01,0.3904964824120603,0.0,0,29.45540911356608,0.040000000000000036,0.08
1992-05-01,0.4318859560962708,0.2514285714285701,0,28.863333333333333,0.041389473684210476,1.26
1993-01-01,0.4366859560962708,0.0,0,28.863333333333333,0.0048000000000000265,-0.28
1993-05-01,0.4711842017103058,0.2691705069124386,0,28.990322580645163,0.03449824561403497,1.79
1994-01-01,0.5182877192982456,0.0,0,28.990322580645163,0.04710351758793979,0.85
1994-05-01,0.5503359605042757,0.746537824709838,0,29.427313650808028,0.032048241206030115,0.55
1995-01-01,0.5233464868200652,0.0,0,29.427313650808028,-0.026989473684210452,-0.86
1995-05-01,0.550475600744116,0.8246571061797923,1,28.871754492482832,0.027129113924050707,0.89
1996-01-01,0.5223773551300808,0.0,0,28.871754492482832,-0.028098245614035178,1.01
1996-05-01,0.5215049933210356,0.2757528278684857,0,28.75738826874764,-0.0008723618090451524,2.13
1997-01-01,0.4670567521150054,0.0,0,28.75738826874764,-0.0544482412060302,0.44
1997-05-01,0.4797567521150053,0.7460293451945021,1,28.25822874704997,0.012699999999999878,1.59
1998-01-01,0.4526276381909547,0.0523489815848228,0,28.69781074523926,-0.027129113924050596,1.05
1998-05-01,0.4594276381909547,1.9744471725152453,1,29.267857142857142,0.006800000000000028,-0.83
1999-01-01,0.4203,0.0,0,29.267857142857142,-0.03912763819095472,-0.78
1999-05-01,0.4476000000000001,0.1894009216589875,1,28.91729019709996,0.027300000000000102,-2.32
2000-01-01,0.4157,0.0118156861285772,0,28.94469733699676,-0.031900000000000095,-2.2
2000-05-01,0.4412619047619047,0.7731785354212423,1,29.0,0.025561904761904675,-0.81
2001-01-01,0.4088619047619047,0.0,0,29.0,-0.032399999999999984,0.48
2001-05-01,0.4244619047619047,0.772350230414745,0,29.05483870967742,0.015600000000000003,-1.12
2002-01-01,0.3771619047619047,0.0,0,29.05483870967742,-0.04730000000000001,-0.42
2002-05-01,0.3924103896103896,0.5617511520737344,0,29.461290322580645,0.0152484848484849,-1.3
2003-01-01,0.3628484848484848,0.0,0,29.461290322580645,-0.02956190476190479,1.45
2003-05-01,0.3937308969087864,0.399539170506919,0,29.561290322580643,0.030882412060301567,0.21
2004-01-01,0.3781308969087864,0.0,0,29.561290322580643,-0.015600000000000003,-0.55
2004-05-01,0.4051643994468574,0.015253456221199,0,29.05161290322581,0.02703350253807102,0.61
2004-10-01,0.4136492479317059,0.015253456221199,0,29.05161290322581,0.008484848484848484,-0.72
2005-01-01,0.4000492479317059,0.0,0,29.05161290322581,-0.013600000000000001,-0.15
2005-03-01,0.4148868358714043,0.0393700999598353,0,29.17971629481162,0.014837587939698416,0.7
2005-05-01,0.4499943735598465,0.684718881774055,1,29.17971629481162,0.035107537688442214,1.36
2005-10-01,0.474427537688442,0.6453487818142197,0,29.17971629481162,0.024433164128595475,-2.0
2011-01-01,0.8281333333333333,0.0265959638604371,0,29.08968544006348,0.011301010101010145,-1.8
2011-03-01,0.8228,0.0,0,29.071870613098145,-0.005333333333333301,-1.28
2011-05-01,0.8361999999999998,0.0,0,28.22258064516129,0.013399999999999856,-0.66
2012-03-01,0.8228666666666665,1.3464166534244382,0,29.061290322580643,-0.013333333333333308,-1.66
2012-05-01,0.8367764411027568,1.9086286349912656,1,29.061290322580643,0.013909774436090316,-2.12
2013-03-01,0.8015764411027568,0.0253456221198164,0,28.91333333333333,-0.03520000000000001,-1.48
2013-05-01,0.7392205513784461,0.3739170506912442,0,28.956666666666667,-0.06235588972431072,-0.4
2014-03-01,0.7228872180451128,0.0,0,28.956666666666667,-0.01633333333333331,0.3
2014-05-01,0.6609372180451129,0.0951305683563725,0,28.69677419354839,-0.06194999999999995,1.27
2014-11-01,0.5938274436090226,0.0951305683563725,0,28.69677419354839,-0.06710977443609023,1.35
2015-03-01,0.5884941102756892,0.8503620803159981,1,29.12258064516129,-0.005333333333333412,1.33
2015-05-01,0.5661833333333333,1.4443712969058635,1,29.12258064516129,-0.022310776942355948,0.32
2015-09-01,0.5379166666666666,1.429163923633975,0,29.12258064516129,-0.028266666666666662,0.97
2016-03-01,0.5118666666666666,0.0110599078341014,0,29.13225806451613,-0.026050000000000018,1.56
2016-05-01,0.5055666666666666,1.7647926267281102,1,29.18,-0.006299999999999972,1.6
2016-09-01,0.4629,1.7647926267281102,0,29.18,-0.04266666666666663,-0.8
2017-03-01,0.4275666666666667,0.2800000000000001,0,29.274193548387096,-0.03533333333333327,0.1
2017-05-01,0.3956666666666666,0.5288479262672823,0,29.274193548387096,-0.031900000000000095,0.45
2018-01-01,0.3668666666666667,0.0073732718894013,0,29.274193548387096,-0.028799999999999937,0.38
2018-03-01,0.3243666666666666,0.0073732718894013,0,28.94,-0.04250000000000009,-0.72
2018-05-01,0.3088666666666666,0.3929032258064515,0,28.925806451612903,-0.015499999999999958,-0.46
2018-10-01,0.3117999999999999,0.3855299539170502,0,28.925806451612903,0.002933333333333288,-0.57
2019-03-01,0.2826333333333333,1.189400921658992,0,29.61290322580645,-0.02916666666666662,-0.4
2019-05-01,0.2904333333333332,2.309062980030732,1,29.966666666666665,0.007799999999999918,0.26
2019-12-01,0.3352333333333332,0.5952380952380995,0,29.966666666666665,0.044800000000000006,-0.0
2020-03-01,0.4160666666666666,0.0,0,29.966666666666665,0.08083333333333337,-1.75
2020-05-01,0.4219666666666666,0.385714285714282,0,29.6,0.005900000000000016,-0.53
2021-01-01,0.4872999999999999,0.0,0,29.6,0.0653333333333333,-0.61
2021-02-01,0.4723,0.0,0,29.6,-0.014999999999999902,-1.09
2021-03-01,0.5301666666666667,0.0,0,29.6,0.05786666666666668,-1.68
2021-05-01,0.4998333333333333,0.0069124423963136,0,29.05161290322581,-0.03033333333333338,-2.01
2021-11-01,0.4891333333333333,0.0069124423963136,0,29.05161290322581,-0.010699999999999987,-2.75
2022-01-01,0.4584666666666667,0.0,0,29.05161290322581,-0.03066666666666662,-2.4
2022-03-01,0.5571333333333333,0.0,0,28.91,0.09866666666666657,-1.67
2022-05-01,0.5039666666666667,0.3457142857142855,0,28.73,-0.053166666666666584,-2.25
2023-03-01,0.5503,0.4161224489795927,0,29.14516129032258,0.04633333333333334,-2.45
2023-05-01,0.601,1.155108624094801,0,29.336666666666662,0.05069999999999997,-2.42
2023-10-01,0.6314,1.145108624094801,0,29.336666666666662,0.030399999999999983,-2.24
